,da,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
48,2001-02-18,173.1699996292591,300.98999959230423,103.17000010609627,143.16999980807304,14200.000049546361,15574.260021209717,37750.58013629913,67.36999943852425,7597.459996521473,6457.240005493164,0.0,59.529999792575836,6464.290006160736,110.64000022411346,638409.9997282028,0.0,0.0
49,2001-02-19,176.67999954521656,235.65000011771917,104.70000024139881,113.70999994874,10900.000054389238,15620.11001253128,29834.390127658844,57.950000166893005,9317.720013737679,6236.720026254654,0.0,47.330000177025795,6019.720006465912,102.52000021934509,605309.9988698959,0.0,0.0
50,2001-02-20,327.1500015258789,433.860000744462,194.6700006723404,270.93000227212906,22269.999891519547,22508.72002887726,60616.81986427307,107.12999990582466,5575.850006818771,10254.420008659363,0.0,101.09999939799309,9536.280024051666,116.40999972820282,1216590.0030136108,0.0,0.0
51,2001-02-21,465.79000103473663,530.4100005477667,301.92000076174736,479.6599987745285,29600.00006482005,27333.40003013611,80396.4301147461,172.9200004339218,4007.9900076389313,14074.499956130981,0.0,174.5999999344349,11109.23998451233,126.1399998664856,1813420.0024604797,0.0,0.0
52,2001-02-22,655.8299974799156,663.6600013375282,456.40999603271484,658.7700001001358,35449.9998241663,29008.760018348694,100115.38013076782,247.87999773025513,3057.5299939513206,18563.73000907898,0.0,241.34000128507614,12835.930010795593,135.88999998569489,2481369.985103607,0.0,0.0
53,2001-02-23,602.2899990677834,561.0799989104271,463.16000056266785,648.1299969553947,33150.00004321337,24400.119919776917,83920.49023342133,235.46999990940094,2976.2899963855743,20595.369998931885,0.0,228.49000015854836,11656.600029945374,134.56999969482422,2361189.9898052216,0.0,0.0
54,2001-02-24,211.04999987781048,248.82000069320202,142.22000074386597,213.67999947071075,13410.000056028366,14024.409996032715,32194.029918670654,83.97000014781952,7309.339992403984,6753.859996557236,0.0,78.36999966204166,6467.750009059906,104.81999969482422,828720.0031280518,0.0,0.0
55,2001-02-25,102.50000004470348,145.18999981880188,50.01000002026558,50.259999960660934,7479.999924078584,10585.759976863861,14696.280004501343,38.6099998652935,13840.73996925354,2087.0799975395203,0.0,24.809999972581863,4975.320018291473,95.66999971866608,282189.9992823601,0.0,0.0
56,2001-02-26,248.91999970376492,282.44999892637134,167.76999846100807,240.0100009739399,17849.999900907278,18435.87999534607,40855.960074424744,114.37000066041946,8109.4999942183495,6590.540011763573,0.0,92.7300009727478,6526.309995651245,110.69999992847443,835639.9999856949,0.0,0.0
57,2001-02-27,200.60999983549118,196.78000021912158,125.24999979138374,150.80999904870987,11819.999992847443,14349.939972400665,24775.630002975464,85.11000001430511,9748.250017642975,6365.279993057251,0.0,68.64000010490417,4884.819993495941,100.25000023841858,599910.0002646446,0.0,0.0
58,2001-02-28,173.86000035703182,192.5099998600781,105.90999992191792,87.07000061869621,10299.999928101897,13583.239996492863,23759.420027256012,58.83000010251999,10879.369987010956,4273.400006175041,0.0,49.1199998408556,4975.309996604919,91.05000007152557,521009.99957323074,0.0,0.0
59,2001-03-01,255.11000107973814,339.529999576509,185.65000021457672,237.80999977886677,21980.000019073486,17472.239999055862,43836.01998138428,113.06000043451786,5695.460013389587,5876.470022678375,0.0,92.60000026226044,5133.24001121521,113.32000005245209,885780.0041437149,0.0,0.0
60,2001-03-02,285.27000150084496,274.0299996435642,212.6300015449524,362.6800009608269,21329.99985665083,15246.010004997253,34341.090003967285,156.22000062465668,6277.73001408577,3781.8299882411957,0.0,130.9299988001585,4808.139995574951,112.31999969482422,1081379.9934387207,0.0,0.0
61,2001-03-03,193.6299996227026,199.94999949634075,131.09999978542328,199.76999993622303,14869.999937713146,12314.689966917038,21400.119992733,109.68999969959259,11264.929991722107,2814.7099956274033,0.0,87.99000005424023,4110.0799951553345,102.24000024795532,617049.998819828,0.0,0.0
62,2001-03-04,194.9499993622303,221.2400001436472,128.41000020503998,208.62000086903572,16200.000084936619,12777.929973602295,23166.360023975372,111.25000023841858,9502.70998454094,3259.0200011730194,0.0,86.20000015199184,3628.5499997138977,104.9000004529953,620789.999961853,0.0,0.0
63,2001-03-05,298.47999991476536,284.7000005245209,201.91999918222427,329.02999955415726,21500.000040978193,15224.51998758316,34971.66995167732,154.8899988234043,6896.070014476776,5587.130001068115,0.0,126.89000001549721,4768.809994459152,113.86999988555908,1004079.9983739853,0.0,0.0
64,2001-03-06,240.11000008881092,266.8199995830655,161.72999995946884,305.3600004911423,19499.999903142452,12341.639997959137,33420.50990962982,136.36000102758408,5060.419992685318,7474.42999124527,0.0,109.53000006079674,5868.330007553101,122.93000018596649,874250.0029802322,0.0,0.0
65,2001-03-07,263.93000112473965,286.5399984419346,175.26999992132187,238.30000013113022,20169.99994404614,15253.38000869751,35221.12997722626,107.68000054359436,5484.349989652634,6323.490007162094,0.0,88.22000032663345,4609.949996471405,111.46000015735626,894500.0029802322,0.0,0.0
